"","doid","Term","Synonym","Secondary"
"56239","DOID:7165","subacute thyroiditis","""Subacute thyroiditis"" EXACT []","NA"
"56249","DOID:7166","thyroiditis","NA","NA"
"56252","DOID:7168","lung occult adenocarcinoma","""Occult adenocarcinoma of the lung"" EXACT []","NA"
"56257","DOID:7169","lung occult large cell carcinoma","""Occult large cell carcinoma of the lung"" EXACT []","NA"
"56261","DOID:7170","obsolete recurrent non-cutaneous melanoma","NA","NA"
"56264","DOID:7171","obsolete recurrent cutaneous melanoma","""recurrent melanoma of skin"" EXACT []","NA"
"56269","DOID:7173","cloacogenic carcinoma","""Cloacogenic carcinoma"" EXACT []","NA"
"56274","DOID:7174","anus basaloid carcinoma","""basaloid carcinoma of the anus"" RELATED []","NA"
"56279","DOID:7175","anal Buschke-Lowenstein tumor","""anal Giant (malignant) Condyloma"" EXACT []","NA"
"56283","DOID:7177","anal canal squamous cell carcinoma","NA","NA"
"56286","DOID:7179","mixed eosinophil-basophil adenoma","""mixed acidophil-basophil adenoma"" EXACT []","NA"
"56290","DOID:718","autoimmune hemolytic anemia","""Autoimmune hemolytic anemia"" EXACT []","NA"
"56297","DOID:7181","benign dermal neurilemmoma","""benign Schwannoma of the skin"" EXACT []","NA"
"56301","DOID:7186","obsolete metastatic childhood sarcoma of soft tissue","""metastatic pediatric sarcoma of the soft tissue"" EXACT []","NA"
"56305","DOID:7187","subacute lymphocytic thyroiditis","""Subacute lymphocytic thyroiditis"" EXACT []","NA"
"56309","DOID:7188","autoimmune thyroiditis","""Lymphocytic Thyroiditis"" EXACT []","DOID:0050435"
"56319","DOID:7191","ovarian endometrioid cystadenoma","NA","NA"
"56322","DOID:7192","hereditary conventional renal cell carcinoma","NA","NA"
"56325","DOID:7198","maxillary sinus adenoid cystic carcinoma","""adenoid cystic carcinoma of the maxillary sinus"" EXACT []","NA"
"56330","DOID:720","normocytic anemia","""ANEMIA NORMOCYTIC"" EXACT []","NA"
"56334","DOID:7202","intermediate malignant teratoma","""malignant teratoma, intermediate"" EXACT []","NA"
"56339","DOID:7206","melanomatosis","NA","NA"
"56342","DOID:7207","lung combined large cell neuroendocrine carcinoma","""pulmonary Combined large cell neuroendocrine carcinoma"" EXACT []","NA"
"56347","DOID:7210","psammomatous meningioma","""Psammomatous meningioma"" EXACT []","NA"
"56351","DOID:7211","fibrous meningioma","""Fibroblastic meningioma"" EXACT []","NA"
"56355","DOID:7212","meningothelial meningioma","""Meningotheliomatous meningioma"" EXACT []","NA"
"56359","DOID:7213","transitional meningioma","""transitional (mixed) meningioma"" EXACT []","NA"
"56363","DOID:7214","noninvasive malignant thymoma","""Thymoma malignant Noninvasive"" EXACT []","NA"
"56367","DOID:7215","obsolete relapsed childhood ependymoma","""relapsed pediatric Ependymoma"" EXACT []","NA"
"56371","DOID:722","obsolete spontaneous abortion","""miscarriage"" EXACT []","NA"
"56375","DOID:7221","gallbladder papillary carcinoma","""Papillary carcinoma of the gallbladder"" EXACT []","NA"
"56379","DOID:7222","gallbladder pleomorphic giant cell adenocarcinoma","""Pleomorphic Giant cell adenocarcinoma of the gallbladder"" EXACT []","NA"
"56383","DOID:7223","breast giant fibroadenoma","""Giant fibroadenoma of breast"" EXACT []","NA"
"56388","DOID:7224","spinal meninges cancer","""malignant neoplasm of spinal meninges"" EXACT []","NA"
"56392","DOID:7230","postgerminal center chronic lymphocytic leukemia/small lymphocytic lymphoma","""CLL/SLL with IGVH SHM"" EXACT []","NA"
"56396","DOID:7231","childhood CNS embryonal cell carcinoma","""pediatric CNS embryonal cell carcinoma"" EXACT []","NA"
"56403","DOID:7232","central nervous system embryonal carcinoma","""embryonal carcinoma of the central nervous system"" RELATED []","NA"
"56408","DOID:7233","adult central nervous system embryonal carcinoma","""Embryonal carcinoma of the adult central nervous system"" EXACT []","NA"
"56412","DOID:7234","mucinous cystadenocarcinoma of pancreas","""Pancreatic Mucinous Cystadenocarcinoma"" EXACT []","NA"
"56417","DOID:7235","pancreatic mucinous cystadenoma","""pancreatic mucinous cystic neoplasm"" EXACT []","NA"
"56421","DOID:7236","pancreatic invasive mucinous cystadenocarcinoma","NA","NA"
"56424","DOID:7237","pancreatic non-invasive mucinous cystadenocarcinoma","NA","NA"
"56427","DOID:7238","obsolete AIDS-related gastric Kaposi's sarcoma","""AIDS-Related Kaposi's sarcoma of stomach"" EXACT []","NA"
"56431","DOID:724","female stress incontinence","""Stress incontinence - female"" EXACT []","NA"
"56436","DOID:7241","uterine corpus apoplectic leiomyoma","NA","NA"
"56439","DOID:7242","uterine corpus cellular leiomyoma","NA","NA"
"56442","DOID:7244","bladder urachal urothelial carcinoma","NA","NA"
"56445","DOID:7245","obsolete metastatic endometrial adenocarcinoma","NA","NA"
"56448","DOID:7246","lymphoepithelioma-like acinar prostate adenocarcinoma","""lymphoepithelioma-like variant acinar prostate adenocarcinoma"" EXACT []","NA"
"56452","DOID:7252","obsolete cerebral meninges malignant neoplasm","""malignant neoplasm of cerebral meninges NOS (disorder)"" EXACT []","NA"
"56457","DOID:7256","obsolete anaplastic urethra carcinoma","""Undifferentiated carcinoma of the urethra"" EXACT []","NA"
"56461","DOID:7262","obsolete gallbladder anaplastic carcinoma","""Undifferentiated gallbladder carcinoma"" EXACT []","NA"
"56465","DOID:7263","selective IgD deficiency disease","""Selective immunoglobulin D deficiency"" EXACT []","NA"
"56470","DOID:7266","familiar fallopian tube carcinoma","NA","NA"
"56473","DOID:7267","lung clear cell carcinoma","NA","NA"
"56476","DOID:7268","obsolete solid carcinoma of lung with mucus formation","""pulmonary solid adenocarcinoma with Mucin"" EXACT []","NA"
"56480","DOID:7269","cribriform variant testicular seminoma","NA","NA"
"56483","DOID:727","premenstrual tension","NA","NA"
"56486","DOID:7273","obsolete adrenal gland tuberculosis","NA","NA"
"56489","DOID:728","nodular episcleritis","NA","NA"
"56492","DOID:7280","congenital epulis","""Congenital Epulis"" EXACT []","NA"
"56497","DOID:7281","uterine corpus adenocarcinofibroma","NA","NA"
"56500","DOID:7284","Skene gland carcinoma","""paraurethral gland carcinoma"" EXACT []","DOID:6722"
"56506","DOID:7289","endometrial endometrioid adenocarcinoma, secretory variant","""secretory uterine corpus endometrioid adenocarcinoma"" EXACT []","NA"
"56510","DOID:7293","mucin-rich endometrial endometrioid adenocarcinoma","NA","NA"
"56513","DOID:7295","obsolete recurrent childhood soft tissue sarcoma","""relapsed pediatric sarcoma of the soft tissue"" EXACT []","NA"
"56517","DOID:7296","obsolete nonmetastatic childhood soft tissue sarcoma","""Non-metastatic pediatric soft tissue sarcoma"" EXACT []","NA"
"56521","DOID:7297","childhood extraosseous osteosarcoma","""pediatric extraskeletal Osteosarcoma"" EXACT []","NA"
"56525","DOID:730","urethral benign neoplasm","""neoplasm. urethra"" EXACT []","NA"
"56530","DOID:7301","obsolete inferior vena cava leiomyosarcoma","""leiomyosarcoma of the Inferior Vena Cava"" EXACT []","NA"
"56534","DOID:7302","endodermal sinus pattern testicular yolk sac tumor","NA","NA"
"56537","DOID:7304","obsolete breast carcinoma metastatic to the brain","NA","NA"
"56540","DOID:7305","astroblastoma","""Astroblastoma"" EXACT []","NA"
"56544","DOID:7306","obsolete anaplastic oligoastrocytoma","""WHO grade III mixed glioma"" EXACT []","NA"
"56550","DOID:731","urinary system benign neoplasm","""urinary tract neoplasm"" EXACT []","NA"
"56557","DOID:7312","breast adenomyoepithelial adenosis","NA","NA"
"56560","DOID:7315","Jewett-Marshall bladder cancer","""stage IVB urinary bladder carcinoma"" EXACT []","NA"
"56566","DOID:7316","obsolete inherited neuropathy","""hereditary neuropathy"" EXACT []","NA"
"56570","DOID:7319","axonal neuropathy","NA","NA"
"56573","DOID:732","urethral disease","""urethra disease"" EXACT []","NA"
"56577","DOID:7320","ovarian serous cystadenofibroma","NA","NA"
"56580","DOID:7323","obsolete primary cerebral lymphoma in immunocompetent host","NA","NA"
"56583","DOID:7324","obsolete hepatitis C virus related hepatocellular carcinoma","NA","NA"
"56586","DOID:7325","obsolete hepatitis B virus related hepatocellular carcinoma","NA","NA"
"56589","DOID:7326","cranial pseudosarcomatous fasciitis","NA","NA"
"56592","DOID:7327","pseudosarcomatous fibromatosis","""Pseudosarcomatous fibromatosis"" EXACT []","NA"
"56599","DOID:7328","iris spindle cell melanoma","NA","NA"
"56602","DOID:7332","esophageal tuberculosis","""tuberculosis of esophagus"" EXACT []","NA"
"56606","DOID:7333","nephrogenic adenoma of urinary bladder","""Nephrogenic adenoma of the urinary bladder"" EXACT []","NA"
"56610","DOID:7334","nephrogenic adenoma","NA","NA"
"56613","DOID:7335","obsolete extraocular extension of melanoma","NA","NA"
"56616","DOID:734","urethra cancer","""urethral Ca"" EXACT []","DOID:737"
"56624","DOID:7340","childhood ovarian dysgerminoma","""pediatric ovarian dysgerminoma"" EXACT []","NA"
"56628","DOID:7344","obsolete anaplastic brainstem astrocytoma","NA","NA"
"56631","DOID:7345","obsolete anaplastic glioma of brain stem","""Undifferentiated glioma of Brainstem"" EXACT []","NA"
"56635","DOID:7347","ovarian stromal hyperthecosis","NA","NA"
"56638","DOID:735","obsolete metastatic neoplasm of urethra","""urethra metastatic malignant neoplasm"" EXACT []","NA"
"56642","DOID:7350","thymic dysplasia","NA","NA"
"56645","DOID:7351","obsolete localized Askin's tumor","NA","NA"
"56648","DOID:7352","obsolete diencephalic anaplastic astrocytoma","""Undifferentiated astrocytoma of Diencephalon"" EXACT []","NA"
"56652","DOID:7356","rectum sarcomatoid carcinoma","""sarcomatoid carcinoma of rectum"" EXACT []","NA"
"56656","DOID:7357","obsolete rectal anaplastic carcinoma","""Undifferentiated carcinoma of rectum"" EXACT []","NA"
"56660","DOID:7358","obsolete recurrent rectal cancer","""recurrent Rectal carcinoma"" EXACT []","NA"
"56664","DOID:736","male urethral cancer","NA","NA"
"56667","DOID:7360","solid pattern testicular yolk sac tumor","NA","NA"
"56670","DOID:7362","obsolete teratoma of CNS with malignant transformation","""teratoma of the central nervous system with malignant Transformation"" EXACT []","NA"
"56674","DOID:7363","vulvar keratinizing squamous cell carcinoma","NA","NA"
"56677","DOID:7364","obsolete organic anxiety disorder","NA","NA"
"56680","DOID:7365","Kimura disease","""Kimura's disease"" EXACT []","NA"
"56684","DOID:7371","superficial urinary bladder cancer","""Superficial urinary bladder carcinoma"" EXACT []","NA"
"56688","DOID:7378","pituitary hypoplasia","NA","NA"
"56691","DOID:7379","adrenal medulla carcinoma","NA","NA"
"56694","DOID:738","female urethral cancer","NA","NA"
"56697","DOID:7380","squamous cell papilloma of skin","""Parakeratotic skin papilloma"" EXACT []","NA"
"56701","DOID:7381","lymphohistiocytoid mesothelioma","NA","NA"
"56704","DOID:7384","obsolete localized resectable adult primary hepatoma","NA","NA"
"56707","DOID:7385","obsolete localized resectable adult primary liver cancer","""localized Resectable adult Liver carcinoma"" EXACT []","NA"
"56711","DOID:7388","pulmonary vein leiomyosarcoma","""leiomyosarcoma of the pulmonary Vein"" EXACT []","NA"
"56715","DOID:7389","pulmonary artery leiomyosarcoma","""leiomyosarcoma of the pulmonary artery"" EXACT []","NA"
"56719","DOID:739","obsolete metastasis to the urethra","""secondary malignant neoplasm of urethra (disorder)"" EXACT []","NA"
"56724","DOID:7390","superior vena cava leiomyosarcoma","""leiomyosarcoma of the Superior Vena Cava"" EXACT []","NA"
"56728","DOID:7391","obsolete superior vena cava malignant neoplasm","""malignant tumor of Superior Vena Cava"" EXACT []","NA"
"56732","DOID:7398","cerebral primitive neuroectodermal tumor","""PNET of Cerebrum"" EXACT []","NA"
"56736","DOID:74","hematopoietic system disease","""Hematological disease"" EXACT []","NA"
"56747","DOID:7400","Nijmegen breakage syndrome","""Seemanova syndrome type 2"" EXACT []","NA"
"56758","DOID:7401","colonic L-cell glucagon-like peptide producing tumor","NA","NA"
"56761","DOID:7402","L-cell glucagon-like peptide producing tumor","NA","NA"
"56764","DOID:7407","obsolete metastatic carcinoma to the uterine cervix","""secondary carcinoma to the Cervix Uteri"" EXACT []","NA"
"56768","DOID:7408","vulvar keratoacanthoma-like carcinoma","NA","NA"
"56771","DOID:7409","vulvar non-keratinizing squamous cell carcinoma","NA","NA"
"56774","DOID:7410","obsolete vulvar squamous cell carcinoma with tumor giant cells","NA","NA"
"56777","DOID:7411","ovarian endometrioid cystadenofibroma","NA","NA"
"56780","DOID:7419","obsolete metaplastic meningioma","""Metaplastic meningioma"" EXACT []","NA"
"56784","DOID:7420","obsolete placental infarction","""Placental infarction"" EXACT []","NA"
"56790","DOID:7423","obsolete ovarian mucinous cystic tumor with mural nodules","NA","NA"
"56793","DOID:7426","cutaneous anthrax","NA","NA"
"56796","DOID:7427","anthrax disease","NA","NA"
"56799","DOID:7428","pineal region germinoma","NA","NA"
"56802","DOID:7429","childhood brain germinoma","""germinoma of the pediatric brain"" EXACT []","NA"
"56806","DOID:743","dermatographia","""dermographism"" EXACT []","NA"
"56811","DOID:7430","childhood germ cell brain tumor","""germ cell neoplasm of the pediatric brain"" EXACT []","NA"
"56817","DOID:7435","polyvesicular vitelline pattern testicular yolk sac tumor","NA","NA"
"56820","DOID:7436","sarcomatoid uterine corpus endometrioid adenocarcinoma","NA","NA"
"56823","DOID:7437","uterus perivascular epithelioid cell tumor","""uterine corpus PEComa"" EXACT []","NA"
"56827","DOID:7438","ovarian clear cell cystadenocarcinoma","NA","NA"
"56830","DOID:7439","polyp of middle ear","""polyp of the middle ear"" EXACT []","NA"
"56835","DOID:744","obsolete Muscle calcification and ossification","NA","NA"
"56838","DOID:7441","chronic metabolic polyneuropathy","NA","NA"
"56841","DOID:7442","monoclonal gammopathy of uncertain significance","""Monoclonal gammopathy of undetermined significance"" EXACT []","NA"
"56847","DOID:7444","obsolete diffuse intraductal papillomatosis","""Diffuse intraductal papillomatosis"" EXACT []","NA"
"56851","DOID:745","epididymis adenomatoid tumor","""benign Epididymal epithelial Mesothelioma"" EXACT []","NA"
"56856","DOID:7455","obsolete hypogonadotropism","NA","NA"
"56859","DOID:7457","enterobiasis","""Threadworm infection"" EXACT []","DOID:7458"
"56868","DOID:7459","acantholytic variant squamous cell breast carcinoma","NA","NA"
"56871","DOID:746","adenomatoid tumor","""benign localized epithelial Mesothelioma"" EXACT []","NA"
"56877","DOID:7460","spindle cell variant squamous cell breast carcinoma","NA","NA"
"56880","DOID:7461","large cell keratinizing variant squamous cell breast carcinoma","NA","NA"
"56883","DOID:7463","childhood pleomorphic rhabdomyosarcoma","""childhood anaplastic Rhabdomyosarcoma"" EXACT []","NA"
"56887","DOID:7465","chronic NK-cell lymphocytosis","""NK-cell large granular Lymphocyte Lymphocytosis"" EXACT []","NA"
"56891","DOID:7468","obsolete Spitz nevus","""Epithelioid and spindle-cell nevus"" EXACT []","NA"
"56897","DOID:7469","obsolete balloon cell nevus","""Balloon cell nevus (morphologic abnormality)"" EXACT []","NA"
"56902","DOID:7470","obsolete neural nevus","""neuronevus (morphologic abnormality)"" EXACT []","NA"
"56906","DOID:7471","obsolete deep penetrating nevus","NA","NA"
"56909","DOID:7472","obsolete recurrent nevus","NA","NA"
"56912","DOID:7473","obsolete recurrent malignant pleural mesothelioma","""relapsed malignant Pleural Mesothelioma"" EXACT []","NA"
"56916","DOID:7474","malignant pleural mesothelioma","""malignant mesothelioma of pleura"" EXACT []","NA"
"56920","DOID:7475","diverticulitis","NA","NA"
"56923","DOID:7479","duodenal somatostatinoma","""duodenal delta cell somatostatin producing tumor"" EXACT []","NA"
"56927","DOID:7480","large cell carcinoma with rhabdoid phenotype","""large cell lung carcinoma with Rhabdoid Phenotype"" EXACT []","NA"
"56931","DOID:7482","petrous apex meningioma","""meningioma of the Petrous Ridge"" EXACT []","NA"
"56935","DOID:7483","cervical keratinizing squamous cell carcinoma","NA","NA"
"56938","DOID:7486","obsolete metastatic renal cell carcinoma","""metastatic renal cell cancer"" EXACT []","NA"
"56942","DOID:7488","posterior urethra cancer","""Posterior urethral malignant tumor"" EXACT []","NA"
"56946","DOID:7489","Osgood-Schlatter's disease","""Osteochondrosis of proximal tibia"" EXACT []","NA"
"56953","DOID:749","active peptic ulcer disease","""GI Bleeding"" RELATED []","NA"
"56957","DOID:7491","vulvar proximal-type epithelioid sarcoma","NA","NA"
"56960","DOID:7492","central epithelioid sarcoma","NA","NA"
"56963","DOID:7497","brain ependymoma","""Ependymoma of brain"" EXACT []","NA"
"56968","DOID:7498","obsolete AIDS-related Human papillomavirus infectious disease","NA","NA"
"56971","DOID:75","lymphatic system disease","""lympoid system disease"" EXACT []","NA"
"56984","DOID:750","peptic ulcer disease","""acute peptic ulcer without hemorrhage and without perforation"" EXACT []","DOID:13115"
"56994","DOID:7501","childhood infratentorial ependymoma","""pediatric infratentorial ependymoma"" EXACT []","NA"
"56998","DOID:7502","childhood supratentorial ependymoma","""pediatric supratentorial ependymoma"" EXACT []","NA"
"57007","DOID:7503","extrahepatic bile duct papillary adenoma","""Papillary adenoma of the extrahepatic bile duct"" EXACT []","NA"
"57011","DOID:7504","obsolete mixed embryonal carcinoma and endodermal sinus neoplasm of the testis","""testicular mixed Embryonal carcinoma and Yolk Sac tumor"" EXACT []","NA"
"57015","DOID:7505","small intestine benign neoplasm","""small intestinal neoplasm"" EXACT []","NA"
"57020","DOID:7506","small intestinal L-cell glucagon-like peptide producing tumor","NA","NA"
"57023","DOID:7507","obsolete malformation of placenta","""Variation of placenta form"" EXACT []","NA"
"57028","DOID:7511","breast intraductal papillomatosis","""Intraductal papillomatosis of the breast"" EXACT []","DOID:1634"
"57034","DOID:7512","obsolete localized intraductal papillomatosis","NA","NA"
"57037","DOID:7514","Wolffian adnexal neoplasm","NA","NA"
"57040","DOID:7515","lumbar spinal canal and spinal cord meningioma","""meningioma of Lumbar Spinal canal and Spinal Cord"" EXACT []","NA"
"57044","DOID:7516","childhood central nervous system mixed germ cell tumor","NA","NA"
"57047","DOID:7517","obsolete central nervous system mixed germ cell tumor","""mixed germ cell tumor of CNS"" EXACT []","NA"
"57051","DOID:7518","inhibited female orgasm","""female Orgasmic disorder"" EXACT []","NA"
"57055","DOID:7519","endocervical carcinoma","""carcinoma of the Endocervix"" EXACT []","NA"
"57060","DOID:752","peptic ulcer perforation","""Perforated peptic ulcer"" EXACT []","DOID:751"
"57067","DOID:7520","periductal breast myoepitheliosis","NA","NA"
"57070","DOID:7521","breast myoepitheliosis","NA","NA"
"57073","DOID:7522","childhood infratentorial embryonal tumor with multilayered rosettes, C19MC-altered","""pediatric infratentorial ependymoblastoma"" EXACT []","NA"
"57078","DOID:7526","obsolete metastatic neoplasm to the ciliary body","""metastatic tumor to the Ciliary body"" EXACT []","NA"
"57082","DOID:7527","acute gonococcal endometritis","""Uterus - acute gonorrhoea"" EXACT []","NA"
"57088","DOID:7528","acute endometritis","NA","NA"
"57091","DOID:7531","anal gland adenocarcinoma","""anal glands adenocarcinoma"" EXACT []","NA"
"57097","DOID:7532","squamous papillomatosis","NA","NA"
"57100","DOID:7533","subareolar duct papillomatosis","""Subareolar duct papillomatosis"" EXACT []","NA"
"57104","DOID:7537","breast cystic hypersecretory carcinoma","""cystic hypersecretory duct carcinoma of the breast"" EXACT []","NA"
"57109","DOID:7538","breast ductal adenoma","NA","NA"
"57112","DOID:7539","pregnancy adenoma","""Lactating adenoma"" EXACT []","NA"
"57116","DOID:754","bladder tuberculosis","""Tuberculous cystitis"" EXACT []","NA"
"57121","DOID:7540","breast apocrine adenoma","NA","NA"
"57124","DOID:7541","mixed epithelial/mesenchymal metaplastic breast carcinoma","NA","NA"
"57127","DOID:7542","osteosarcoma arising in bone Paget's disease","""Osteosarcoma Arising in osseous Paget's disease"" EXACT []","NA"
"57132","DOID:7543","obsolete recurrent squamous cell carcinoma of the esophagus","""recurrent squamous cell carcinoma of esophagus"" EXACT []","NA"
"57136","DOID:7544","obsolete recurrent esophagus cancer","""relapsed carcinoma of the esophagus"" EXACT []","NA"
"57140","DOID:7549","ceruminoma","""Ceruminous adenoma"" EXACT []","NA"
"57144","DOID:7551","gonorrhea","""chronic gonococcal infectious disease of upper genitourinary tract"" EXACT []","DOID:13557"
"57151","DOID:7553","infiltrating bladder urothelial carcinoma sarcomatoid variant","""Infiltrating bladder Urothelial carcinoma, sarcomatoid Variant without Heterologous Elements"" EXACT []","DOID:7800"
"57158","DOID:7554","obsolete Paget's disease and intraductal carcinoma of breast","""Paget's disease of the breast with Intraductal carcinoma"" EXACT []","NA"
"57164","DOID:7555","obsolete HIV leukoencephalopathy","""Human immunodefiency virus leukoencephalopathy (disorder)"" EXACT []","NA"
"57168","DOID:7558","glossopharyngeal motor neuropathy","NA","NA"
"57171","DOID:7559","asymmetric motor neuropathy","NA","NA"
"57174","DOID:7565","vulvar eccrine porocarcinoma","NA","NA"
"57177","DOID:7566","eccrine porocarcinoma","""Porocarcinoma"" EXACT []","NA"
"57183","DOID:7567","vulvar clear cell hidradenocarcinoma","NA","NA"
"57186","DOID:7568","obsolete adult brain meningioma","NA","NA"
"57189","DOID:757","obsolete thyrotoxicosis with toxic single thyroid nodule","NA","NA"
"57192","DOID:7571","malignant cystic nephroma","""malignant multilocular cystic nephroma"" EXACT []","NA"
"57198","DOID:7574","pancreatic intraductal papillary-colloid carcinoma","""Intraductal Papillary-mucinous carcinoma of pancreas"" EXACT []","NA"
"57202","DOID:7575","pancreatic intraductal papillary-mucinous neoplasm","""Pancreatic Intraductal Neoplasms"" BROAD []","NA"
"57206","DOID:7576","obsolete metastatic pancreatic adenocarcinoma","NA","NA"
"57209","DOID:7577","pancreatic foamy gland adenocarcinoma","NA","NA"
"57212","DOID:7578","breast scirrhous carcinoma","""scirrhous carcinoma of breast"" RELATED []","NA"
"57218","DOID:758","situs inversus","""situs inversus viscerum"" EXACT []","NA"
"57224","DOID:7581","obsolete psychogenic depressive psychosis","""Severe major depression with psychotic features (disorder)"" EXACT []","NA"
"57230","DOID:7583","glottis verrucous carcinoma","""verrucous carcinoma of glottis"" RELATED []","NA"
"57235","DOID:7584","subglottis verrucous carcinoma","""verrucous carcinoma of the subglottis"" RELATED []","NA"
"57240","DOID:7585","subglottis squamous cell carcinoma","""Epidermoid carcinoma of the Subglottis"" EXACT []","NA"
"57244","DOID:7586","supraglottis verrucous carcinoma","""verrucous carcinoma of the supraglottis"" RELATED []","NA"
"57249","DOID:7587","supraglottis squamous cell carcinoma","""Epidermoid carcinoma of the Supraglottis"" EXACT []","NA"
"57253","DOID:7588","obsolete mixed endodermal sinus neoplasm and teratoma of the testis","""mixed Yolk Sac tumor and teratoma of testis"" EXACT []","NA"
"57257","DOID:7589","obsolete ovarian dermoid cyst with melanocytic nevus","NA","NA"
"57260","DOID:759","obsolete congenital disorder","""congenital abnormality"" EXACT []","NA"
"57264","DOID:7590","obsolete ovarian dermoid cyst with secondary melanocytic lesion","NA","NA"
"57267","DOID:7591","gestational ovarian choriocarcinoma","NA","NA"
"57270","DOID:7593","obsolete recurrent pediatric medulloblastoma","""relapsed pediatric Medulloblastoma"" EXACT []","NA"
"57274","DOID:7596","asbestos-related lung carcinoma","NA","NA"
"57277","DOID:7598","cervical lymphoepithelioma-like carcinoma","NA","NA"
"57280","DOID:7599","lymphoepithelioma-like thymic carcinoma","""Lymphoepithelioma-like carcinoma of the Thymus"" EXACT []","NA"
"57284","DOID:76","stomach disease","""stomach disorder"" EXACT []","NA"
"57290","DOID:7600","infiltrating bladder lymphoepithelioma-like carcinoma","NA","NA"
"57293","DOID:7601","obsolete advanced malignant pleural mesothelioma","""Advanced malignant Mesothelioma of Pleura"" EXACT []","NA"
"57297","DOID:7602","conventional osteosarcoma","""Medullary Osteosarcoma"" EXACT []","DOID:3378"
"57305","DOID:7603","fibrosarcomatous osteosarcoma","""Fibrosarcomatous Osteogenic sarcoma"" EXACT []","NA"
"57310","DOID:7607","chief cell adenoma","""Chief cell adenoma of Parathyroid gland"" EXACT []","NA"
"57314","DOID:7608","parathyroid adenoma","""adenoma of the Parathyroid gland"" EXACT []","NA"
"57319","DOID:7609","parathyroid transitional clear cell adenoma","""Clear cell adenoma of the Parathyroid"" EXACT []","NA"
"57323","DOID:761","obsolete meningococcal endocarditis","""Meningococcal endocarditis (disorder)"" EXACT []","NA"
"57327","DOID:7610","mixed cell type adenoma of parathyroid","""mixed cell type adenoma of the Parathyroid gland"" EXACT []","NA"
"57331","DOID:7611","parathyroid oncocytic adenoma","NA","NA"
"57334","DOID:7612","childhood intracortical osteosarcoma","NA","NA"
"57337","DOID:7613","sarcomatosis of the meninges","""sarcomatosis of meninges"" EXACT []","NA"
"57342","DOID:7614","meninges sarcoma","""sarcoma of meninges"" EXACT []","NA"
"57347","DOID:7615","sarcomatosis","NA","NA"
"57350","DOID:762","obsolete bacterial endocarditis","""Endocarditis, infective NOS"" EXACT []","DOID:14105"
"57363","DOID:763","obsolete meningococcal carditis","""Meningococcal carditis, unspecified"" EXACT []","NA"
"57370","DOID:7631","adult embryonal tumor with multilayered rosettes, C19MC-altered","""adult ependymoblastoma"" EXACT []","NA"
"57374","DOID:7632","Cowper gland carcinoma","NA","NA"
"57377","DOID:7633","macular holes","""Macular hole"" EXACT []","NA"
"57381","DOID:7634","suprasellar meningioma","NA","NA"
"57384","DOID:7635","Gasserian ganglion meningioma","""meningioma of Gasserian Ganglion"" EXACT []","NA"
"57388","DOID:7636","obsolete recurrent cancer of small Intestine","""relapsed carcinoma of the small Intestine"" EXACT []","NA"
"57392","DOID:7638","obsolete Paget's disease and invasive ductal carcinoma of breast","""Paget's disease of breast with Infiltrating ductal carcinoma"" EXACT []","NA"
"57396","DOID:7639","malignant granular cell skin tumor","""malignant granular cell tumour of skin"" EXACT []","NA"
"57403","DOID:764","obsolete meningococcal pericarditis","""Meningococcal pericarditis (disorder)"" EXACT []","NA"
"57407","DOID:7641","obsolete non-resectable small intestine carcinoma","""Unresectable Small Intestine carcinoma"" EXACT []","NA"
"57411","DOID:7642","cholangiolocellular carcinoma","NA","NA"
"57414","DOID:7643","acantholytic squamous cell skin carcinoma","""Acantholytic squamous cell skin carcinoma"" EXACT []","NA"
"57420","DOID:7646","multiple spinal canal and spinal cord meningioma","""Multiple meningiomas of the Spinal canal and Spinal Cord"" EXACT []","NA"
"57424","DOID:7650","pulmonary type ovarian small cell carcinoma","NA","NA"
"57427","DOID:7651","small-cell carcinoma of the ovary of hypercalcemic type","""hypercalcemic type ovarian small cell carcinoma"" EXACT []","NA"
"57431","DOID:7652","obsolete rare cancer-associated syndrome","NA","NA"
"57434","DOID:7656","adult infiltrating astrocytic neoplasm","""adult Infiltrating astrocytoma"" EXACT []","NA"
"57439","DOID:7657","obsolete anaplastic astrocytoma of adult","""Undifferentiated astrocytoma of adult"" EXACT []","NA"
"57443","DOID:7664","endometrial mixed adenocarcinoma","NA","NA"
"57446","DOID:7665","non-gestational ovarian choriocarcinoma","NA","NA"
"57449","DOID:767","muscular atrophy","""Wasting - muscle"" EXACT []","NA"
"57455","DOID:7671","obsolete recurrent penis cancer","""relapsed carcinoma of penis"" EXACT []","NA"
"57459","DOID:7672","obsolete regressing non-cutaneous melanoma","NA","NA"
"57462","DOID:7675","testicular fibroma","NA","NA"
"57465","DOID:7676","testicular thecoma","NA","NA"
"57468","DOID:7677","obsolete bone metastatic Ewing's sarcoma","NA","NA"
"57471","DOID:7678","sphenoid sinus inverted papilloma","""Inverted papilloma of the Sphenoid sinus"" EXACT []","NA"
"57475","DOID:7679","sphenoid sinus Schneiderian papilloma","""Schneiderian papilloma of the Sphenoid sinus"" EXACT []","NA"
"57479","DOID:768","retinoblastoma","""RB - Retinoblastoma"" EXACT []","NA"
"57485","DOID:7681","obsolete mixed choriocarcinoma and teratoma of the testis","""mixed Choriocarcinoma and teratoma of testis"" EXACT []","NA"
"57489","DOID:7683","obsolete dissecting aortic aneurysm","NA","NA"
